City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lasa,46.6166,10.7002,6.49,51,49,0.68,IT,1667884296
1,verkhnyaya inta,65.9811,60.3094,-2.73,94,100,3.42,RU,1667884297
2,luderitz,-26.6481,15.1594,17.61,79,50,3.28,NA,1667884297
3,castro,-24.7911,-50.0119,8.34,99,13,2.17,BR,1667884298
4,bluff,-46.6,168.3333,18.78,74,50,6.97,NZ,1667884298
5,pochutla,15.7432,-96.4661,25.46,91,48,1.82,MX,1667884299
6,port elizabeth,-33.918,25.5701,19.06,83,58,1.79,ZA,1667884196
7,avarua,-21.2078,-159.775,23.03,68,20,3.09,CK,1667884103
8,kousseri,12.0769,15.0306,24.17,35,24,3.19,CM,1667884300
9,sasovo,54.3537,41.9199,0.62,98,100,1.34,RU,1667884300
10,kruisfontein,-34.0033,24.7314,14.94,68,21,2.8,ZA,1667884301
11,jacqueville,5.2052,-4.4146,26.21,81,99,2.38,CI,1667884302
12,rocha,-34.4833,-54.3333,11.04,96,1,1.78,UY,1667884303
13,ribeira grande,38.5167,-28.7,17.65,70,100,0.45,PT,1667884303
14,dikson,73.5069,80.5464,-14.2,93,99,3.96,RU,1667884304
15,itarema,-2.9248,-39.9167,25.68,71,17,5.52,BR,1667884304
16,albany,42.6001,-73.9662,8.06,60,5,2.68,US,1667884022
17,grand gaube,-20.0064,57.6608,26.22,64,59,3.58,MU,1667884304
18,vierzon,47.2101,2.0625,11.21,64,74,4.77,FR,1667884305
19,east london,-33.0153,27.9116,19.94,80,100,5.64,ZA,1667884306
20,sabha,27.0377,14.4283,13.44,61,0,3.71,LY,1667884306
21,vila,42.0304,-8.1588,10.49,93,95,2.75,PT,1667884306
22,ushuaia,-54.8,-68.3,11.81,47,0,3.09,AR,1667884307
23,parakou,9.3372,2.6303,20.86,38,94,1.21,BJ,1667884308
24,barrow,71.2906,-156.7887,-2.99,86,100,10.8,US,1667884308
25,kirby,29.4633,-98.3856,24.03,87,100,5.14,US,1667884309
26,asyut,27.181,31.1837,17.57,54,40,2.25,EG,1667884309
27,chimoio,-19.1164,33.4833,20.81,83,99,0.83,MZ,1667884310
28,bambous virieux,-20.3428,57.7575,26.14,65,40,4.63,MU,1667884311
29,atuona,-9.8,-139.0333,25.07,72,99,5.46,PF,1667884311
30,arman,59.7,150.1667,-6.1,90,98,2.81,RU,1667884312
31,blatnica,44.4864,17.8233,7.48,86,14,1.86,BA,1667884312
32,guerrero negro,27.9769,-114.0611,18.12,81,33,4.25,MX,1667884312
33,kavieng,-2.5744,150.7967,28.92,69,100,2.77,PG,1667884313
34,bambanglipuro,-7.95,110.2833,28.39,75,80,3.56,ID,1667884313
35,qaqortoq,60.7167,-46.0333,-4.44,79,100,2.78,GL,1667884313
36,mataura,-46.1927,168.8643,18.6,55,79,2.21,NZ,1667884314
37,thompson,55.7435,-97.8558,-20.12,97,83,1.67,CA,1667884259
38,tiksi,71.6872,128.8694,-17.7,89,100,7.41,RU,1667884315
39,panjab,34.388,67.0233,3.23,58,58,2.51,AF,1667884315
40,medicine hat,50.0501,-110.6683,-16.55,85,0,4.12,CA,1667884218
41,ancud,-41.8697,-73.8203,11.89,95,97,1.35,CL,1667884316
42,upernavik,72.7868,-56.1549,-15.8,87,60,3.31,GL,1667884316
43,atar,20.5169,-13.0499,24.79,19,98,1.54,MR,1667884317
44,pfarrkirchen,48.432,12.9381,5.46,93,41,1.75,DE,1667884317
45,hobart,-42.8794,147.3294,27.9,53,0,1.54,AU,1667884318
46,hervey bay,-25.2986,152.8535,24.45,54,24,3.13,AU,1667884079
47,punta arenas,-53.15,-70.9167,10.06,66,40,7.72,CL,1667884318
48,omboue,-1.5746,9.2618,24.48,92,100,2.54,GA,1667884319
49,kaitangata,-46.2817,169.8464,15.2,69,90,2.16,NZ,1667884319
50,bredasdorp,-34.5322,20.0403,15.84,74,79,2.21,ZA,1667884320
51,jamestown,42.097,-79.2353,6.77,73,0,3.09,US,1667884321
52,iquique,-20.2208,-70.1431,17.02,63,0,0.83,CL,1667884321
53,sand,50.0,10.6,8.14,99,16,2.16,DE,1667884323
54,areka,7.0667,37.7,17.45,61,100,2.83,ET,1667884324
55,eureka,40.8021,-124.1637,7.34,95,100,2.24,US,1667884324
56,madhogarh,26.276,79.1869,28.11,37,24,2.57,IN,1667884325
57,lake havasu city,34.4839,-114.3224,21.37,44,0,5.14,US,1667884326
58,caravelas,-17.7125,-39.2481,20.66,76,83,2.06,BR,1667884326
59,north bend,43.4065,-124.2243,6.2,97,100,4.63,US,1667884327
60,college,64.8569,-147.8028,-7.03,80,75,0.0,US,1667884328
61,rikitea,-23.1203,-134.9692,23.38,90,91,6.2,PF,1667884328
62,byron bay,-28.65,153.6167,18.3,81,96,3.4,AU,1667884329
63,flin flon,54.7682,-101.865,-13.33,84,100,4.36,CA,1667884330
64,fecamp,49.7579,0.3746,13.84,69,100,11.68,FR,1667884331
65,provideniya,64.3833,-173.3,0.06,93,100,10.0,RU,1667884331
66,victoria,22.2855,114.1577,23.35,84,96,4.47,HK,1667884308
67,kyzyl-suu,42.3414,78.0056,6.77,57,93,2.78,KG,1667884332
68,visinesti,45.1,25.55,9.2,79,100,1.18,RO,1667884333
69,lebu,-37.6167,-73.65,11.71,87,100,4.13,CL,1667884242
70,sakaiminato,35.55,133.2333,17.38,59,23,4.58,JP,1667884334
71,ishigaki,24.3448,124.1572,24.6,81,2,5.74,JP,1667884334
72,clyde river,70.4692,-68.5914,-16.62,89,99,1.98,CA,1667884335
73,okitipupa,6.5047,4.7839,23.02,97,79,0.64,NG,1667884335
74,cuencame,24.8711,-103.6964,18.48,27,0,2.03,MX,1667884336
75,praia da vitoria,38.7333,-27.0667,15.42,89,97,5.85,PT,1667884335
76,kapaa,22.0752,-159.319,26.99,80,100,7.72,US,1667884102
77,ahipara,-35.1667,173.1667,17.38,81,94,6.93,NZ,1667884336
78,codrington,-38.2667,141.9667,24.43,62,4,4.68,AU,1667884337
79,port alfred,-33.5906,26.891,17.32,88,100,1.79,ZA,1667884338
80,busselton,-33.65,115.3333,20.67,55,84,3.6,AU,1667884338
81,kota,25.1833,75.8333,29.23,33,45,4.14,IN,1667884339
82,puerto ayora,-0.7393,-90.3518,19.19,87,86,0.89,EC,1667884340
83,liverpool,53.4106,-2.9779,10.84,89,20,6.69,GB,1667884340
84,longyearbyen,78.2186,15.6401,-5.09,80,75,5.66,SJ,1667884341
85,tanete,-3.9443,119.7848,30.77,67,76,1.41,ID,1667884341
86,port lincoln,-34.7333,135.8667,22.98,55,100,5.44,AU,1667884342
87,severo-kurilsk,50.6789,156.125,4.43,72,78,8.43,RU,1667884138
88,cabo san lucas,22.8909,-109.9124,23.06,73,0,0.89,MX,1667884343
89,katsuura,35.1333,140.3,19.26,55,0,4.38,JP,1667884343
90,hermanus,-34.4187,19.2345,15.89,77,77,2.19,ZA,1667884344
91,nantucket,41.2835,-70.0995,14.52,47,0,11.47,US,1667884345
92,torbay,47.6666,-52.7314,14.21,97,100,9.77,CA,1667884345
93,airai,-8.9266,125.4092,23.41,61,79,0.35,TL,1667884346
94,gao,16.6362,1.637,20.1,16,29,5.43,ML,1667884347
95,bombay,19.0144,72.8479,28.99,45,37,2.57,IN,1667884052
96,tasiilaq,65.6145,-37.6368,-3.4,95,100,0.9,GL,1667884348
97,scarborough,54.2797,-0.4044,10.76,90,100,3.58,GB,1667884348
98,bonga,7.2833,36.2333,16.01,89,100,0.68,ET,1667884349
99,cape town,-33.9258,18.4232,17.84,84,97,0.45,ZA,1667884148
100,hilo,19.7297,-155.09,23.12,92,100,3.09,US,1667884303
101,horta,38.5333,-28.6333,17.23,70,100,0.45,PT,1667884328
102,cherskiy,68.75,161.3,-21.58,100,60,0.68,RU,1667884350
103,maceio,-9.6658,-35.7353,22.69,94,40,1.54,BR,1667884190
104,tuy hoa,13.0833,109.3,26.74,75,100,6.14,VN,1667884351
105,ponta do sol,32.6667,-17.1,21.11,83,79,2.02,PT,1667884351
106,grand haven,43.0631,-86.2284,4.49,73,0,3.09,US,1667884077
107,khatanga,71.9667,102.5,-13.43,96,100,1.26,RU,1667884352
108,sibolga,1.7427,98.7792,29.65,65,92,2.4,ID,1667884353
109,cidreira,-30.1811,-50.2056,16.35,80,39,4.24,BR,1667884353
110,souillac,-20.5167,57.5167,26.21,65,40,4.63,MU,1667884354
111,georgetown,5.4112,100.3354,30.96,70,20,4.63,MY,1667884355
112,hithadhoo,-0.6,73.0833,28.16,73,26,7.63,MV,1667884355
113,khanpur,28.6453,70.6567,26.11,38,80,5.35,PK,1667884356
114,dalvik,65.9702,-18.5286,3.75,97,100,2.64,IS,1667884357
115,mar del plata,-38.0023,-57.5575,15.53,92,0,6.26,AR,1667884357
116,natal,-5.795,-35.2094,23.36,94,20,1.03,BR,1667884039
117,bilibino,68.0546,166.4372,-20.84,94,34,2.03,RU,1667884358
118,lorengau,-2.0226,147.2712,28.89,74,100,2.7,PG,1667884358
119,mayo,38.8876,-76.5119,17.19,40,0,4.63,US,1667884359
120,vesyegonsk,58.664,37.2604,2.38,98,100,3.61,RU,1667884360
121,karangasem,-8.45,115.6167,28.63,72,92,3.09,ID,1667884360
